"","receiver_id","receiver_player_name","Pos","posteam","complete_pass","yards_gained","G"
"10584","00-0027891","G.Tate III","WR","NYG",1,6,12
"10585","00-0033881","E.Engram","TE","NYG",0,0,16
"10586","00-0033009","T.Boyd","WR","CIN",1,9,15
"10587","00-0035631","D.Sample","TE","CIN",1,16,16
"10588","00-0027942","A.Green","WR","CIN",0,0,16
"10589","00-0036410","T.Higgins","WR","CIN",1,11,16
"10590","00-0027891","G.Tate III","WR","NYG",0,0,12
"10591","00-0027891","G.Tate III","WR","NYG",0,0,12
"10592","00-0033881","E.Engram","TE","NYG",1,12,16
"10593","00-0033009","T.Boyd","WR","CIN",1,1,15
"10594","00-0027942","A.Green","WR","CIN",0,0,16
"10595","00-0035535","D.Slayton","WR","NYG",0,0,16
"10596","00-0032385","S.Shepard","WR","NYG",1,9,12
"10597","00-0033367","C.Board","WR","NYG",1,11,14
"10598","00-0033950","W.Gallman Jr.","RB","NYG",0,0,15
"10599","00-0035535","D.Slayton","WR","NYG",0,0,16
"10600","00-0027891","G.Tate III","WR","NYG",1,10,12
"10601","00-0033881","E.Engram","TE","NYG",1,16,16
"10602","00-0033338","C.Carter","TE","CIN",1,5,15
"10603","00-0030456","G.Bernard","RB","CIN",1,1,16
"10604","00-0027942","A.Green","WR","CIN",0,0,16
"10605","00-0036410","T.Higgins","WR","CIN",1,10,16
"10606","00-0032385","S.Shepard","WR","NYG",1,16,12
"10607","00-0033881","E.Engram","TE","NYG",0,0,16
"10608","00-0033881","E.Engram","TE","NYG",1,5,16
"10609","00-0027891","G.Tate III","WR","NYG",1,7,12
"10610","00-0027891","G.Tate III","WR","NYG",0,0,12
"10611","00-0032385","S.Shepard","WR","NYG",1,5,12
"10612","00-0030456","G.Bernard","RB","CIN",0,0,16
"10613","00-0033950","W.Gallman Jr.","RB","NYG",0,0,15
"10614","00-0033881","E.Engram","TE","NYG",1,44,16
"10615","00-0033950","W.Gallman Jr.","RB","NYG",1,2,15
"10616","00-0033950","W.Gallman Jr.","RB","NYG",1,-9,15
"10617","00-0027891","G.Tate III","WR","NYG",0,0,12
"10618","00-0033526","S.Perine","RB","CIN",1,2,16
"10619","00-0033009","T.Boyd","WR","CIN",0,0,15
"10620","00-0033881","E.Engram","TE","NYG",0,0,16
"10621","00-0027891","G.Tate III","WR","NYG",1,13,12
"10622","00-0032385","S.Shepard","WR","NYG",0,0,12
"10623","00-0036410","T.Higgins","WR","CIN",1,4,16
"10624","00-0035631","D.Sample","TE","CIN",0,0,16
"10625","00-0034686","A.Tate","WR","CIN",0,0,9
"10626","00-0033009","T.Boyd","WR","CIN",0,0,15
"10627","00-0033881","E.Engram","TE","NYG",1,-1,16
"10628","00-0032385","S.Shepard","WR","NYG",1,8,12
"10629","00-0033009","T.Boyd","WR","CIN",0,0,15
"10630","00-0035631","D.Sample","TE","CIN",1,7,16
"10631","00-0032385","S.Shepard","WR","NYG",1,15,12
"10632","00-0032385","S.Shepard","WR","NYG",1,5,12
"10633","00-0027891","G.Tate III","WR","NYG",0,0,12
"10634","00-0035631","D.Sample","TE","CIN",1,14,16
